,network,iter,epoch,type,loss,accuracy
404,I,5,5,train,0.06327620995016214,0.983756566912907
405,I,5,6,train,0.063223602939399,0.984064986481014
406,I,5,7,train,0.06317148767538094,0.9842706007519691
407,I,5,8,train,0.06315892091850295,0.9839621786837393
408,I,5,9,train,0.06319678351022644,0.9842705970262959
409,I,5,10,train,0.06305783045324684,0.9838593709354866
410,I,5,11,train,0.063101724204558,0.984476211248229
411,I,5,12,train,0.06308098064439294,0.984167791827188
412,I,5,13,train,0.06303160261124191,0.9841677954548173
413,I,5,14,train,0.0630263217414738,0.9842705970753179
414,I,5,15,train,0.06297668450517449,0.9842705993303307
415,I,5,16,train,0.0629387773712039,0.9844762136012858
416,I,5,17,train,0.0630248397040296,0.9839621823113686
417,I,5,18,train,0.06297834545995884,0.9841677941802448
418,I,5,19,train,0.06291700371695139,0.9843734071766275
419,I,5,20,train,0.06291193607055211,0.9839621786837393
420,I,5,21,train,0.06298479532808221,0.9843734035489983
421,I,5,22,train,0.06290307522553101,0.9840649877065645
422,I,5,23,train,0.0629594029336509,0.9841677892290212
423,I,5,24,train,0.06286934862596759,0.9844762125718235
424,I,5,25,train,0.06289285911017152,0.98406498638297
425,I,5,26,train,0.06285053200217794,0.9841677941802448
426,I,5,27,train,0.06280605274874848,0.9839621811348401
427,I,5,28,train,0.06283535418178497,0.9843734060491212
428,I,5,29,train,0.06278393914595812,0.9839621811348401
429,I,5,30,train,0.06280734679403464,0.9843734072256495
430,I,5,31,train,0.06280643464749429,0.9839621797132017
431,I,5,32,train,0.06277795793329492,0.9841677928566503
432,I,5,33,train,0.06277981122366458,0.9841677941802448
433,I,5,34,train,0.06273857007858086,0.9840649875104764
434,I,5,35,train,0.06275138263683029,0.9842705982518464
435,I,5,36,train,0.06269986622998326,0.9838593746611598
436,I,5,37,train,0.0625926869514178,0.9844762124737794
437,I,5,38,train,0.06279669010421349,0.9837565656383346
438,I,5,39,train,0.06264703762629938,0.984064986431992
439,I,5,40,train,0.06268096975105154,0.984064986333948
440,I,5,41,train,0.06258520316223429,0.9838593732885433
441,I,5,42,train,0.06267217950826683,0.9841677930037164
442,I,5,43,train,0.06262192341879239,0.9839621824094126
443,I,5,44,train,0.0626235582281819,0.9841677955038393
444,I,5,45,train,0.06259812244275491,0.9837565656873566
445,I,5,46,train,0.06260584673414474,0.9839621809877741
446,I,5,47,train,0.06262330595226588,0.9841677930037164
447,I,5,48,train,0.06259876452336591,0.983756566863885
